image,release date,GSM_CC_Bearer_Crash_MEM_GUARD_G973F_ASG8.bin,GSM_CC_msgto_DBG_SAP_DATA_ABORT_G973F_CTD1.bin,GSM_CC_SETUP_MSG_ProAsn_PREFETCH_ABORT_G973F_CTD1.bin,GSM_SM_PREFETCH_ABORT_G950_AQI7.bin,LTE_RRC_LRRCConnectionReconfiguration_v890_IEs_PREFETCH_ABORT_G973F_CTD1.bin,LTE_RRC_ProAsn_Encode_MEM_GUARD_G973F_9FUCD.bin,LTE_RRC_RRCConnectionReconfiguration_SIB2_PREFETCH_ABORT_G973F_9FUCD.bin
G930FXXU1APB2,201602,-,-,-,-,-,-,-
G930FXXU1APBD,201602,-,-,-,-,-,-,-
G930FXXU1APD1,201604,-,-,-,-,-,-,-
G930FXXU1APEQ,201605,T,T,T,T,T,T,T
G930FXXU1BPHJ,201608,MEM,?,N,PA,N,N,N
G930FXXU1BPH1,201608,MEM,?,?,PA,N,N,N
G930FXXU1BPJG,201610,MEM,?,N,PA,N,N,N
G930FXXU1BPJJ,201610,MEM,N,N,PA,N,N,N
G930FXXU1DQB1,201702,MEM,N,N,PA,?,?,?
G930FXXU1DQD7,201704,MEM,?,?,PA,?,?,?
G930FXXU1DQIL,201709,MEM,?,?,PA,N,N,N
G930FXXU2DRA9,201801,MEM,?,?,N,?,?,?
G930FXXU2DRB6,201802,MEM,?,?,N,?,?,?
G930FXXU2ERD6,201804,MEM,N,N,?,?,?,?
G930FXXU2ERG2,201807,MEM,?,?,N,N,N,N
G930FXXU2ERGC,201807,MEM,?,?,N,N,N,N
G930FXXU3ERHC,201808,MEM,?,N,N,N,N,N
G930FXXU3ESA1,201901,MEM,?,?,N,N,N,N
G930FXXU4ESB1,201902,N,N,N,N,N,N,N
G930FXXS5ESF1,201906,MEM,N,N,N,N,N,N
G930FXXS6ESI8,201909,MEM,N,N,N,?,N,N
G930FXXS7ESLA,201912,MEM,N,N,N,?,?,?
G930FXXS8ETC4,202003,N,?,?,N,?,?,?
G930FXXU8ETI2,202009,N,?,?,N,N,N,N
G935FXXU1APB2,201602,-,-,-,-,-,-,-
G935FXXU1APBD,201602,-,-,-,-,-,-,-
G935FXXU1APD1,201604,-,-,-,-,-,-,-
G935FXXU1APEQ,201605,MEM,?,?,PA,N,N,N
G935FXXU1BPH1,201608,MEM,N,N,PA,N,N,N
G935FXXU1BPHJ,201608,MEM,?,N,PA,N,N,N
G935FXXU1BPJJ,201610,MEM,?,?,PA,N,N,N
G935FXXU1BPJG,201610,MEM,?,?,PA,N,N,N
G935FXXU1DQB1,201702,MEM,N,?,PA,N,N,N
G935FXXU1DQB3,201702,MEM,?,?,PA,N,N,N
G935FXXU1DQD7,201704,MEM,?,?,PA,N,N,N
G935FXXU1DQF2,201706,MEM,?,?,PA,N,N,N
G935FXXU1DQIL,201709,MEM,?,N,PA,?,?,?
G935FXXU2DRA9,201801,MEM,N,?,N,N,N,N
G935FXXU2DRB6,201802,T,T,T,T,T,T,T
G935FXXU2ERD6,201804,MEM,?,?,?,N,N,N
G935FXXU2ERGC,201807,MEM,?,?,N,?,?,?
G935FXXU2ERG2,201807,MEM,?,?,N,?,?,?
G935FXXU3ERHC,201808,MEM,?,N,N,?,?,?
G935FXXU3ESA1,201901,MEM,?,?,N,?,?,?
G935FXXU4ESB1,201902,N,N,N,N,?,?,?
G935FXXS5ESF1,201906,MEM,?,?,N,?,?,?
G935FXXS6ESI8,201909,MEM,N,N,N,?,?,?
G935FXXS7ESLA,201912,MEM,N,N,N,N,N,N
G935FXXU7ETBA,202002,N,?,?,N,N,N,N
G935FXXS8ETC4,202003,?,N,N,N,N,N,N
G935FXXU8ETI2,202009,?,?,?,N,N,N,N
G950FXXU1AQDG,201704,MEM,N,N,PA,N,N,N
G950FXXU1AQDD,201704,?,?,?,?,?,?,?
G950FXXU1AQEB,201705,MEM,N,N,PA,N,N,N
G950FXXU1AQF7,201706,MEM,N,N,PA,N,N,N
G950FXXU1AQG5,201707,MEM,N,N,PA,N,N,N
G950FXXU1AQH3,201708,MEM,N,N,PA,N,N,N
G950FXXU1AQJ5,201710,MEM,N,N,PA,N,N,N
G950FXXU1AQK7,201711,MEM,N,N,PA,N,N,N
G950FXXU1AQL5,201712,MEM,N,N,PA,N,N,N
G950FXXU1CRAP,201801,MEM,N,N,N,N,N,N
G950FXXU1CRC7,201803,MEM,N,N,N,N,N,N
G950FXXU1CRD1,201804,MEM,N,N,N,N,N,N
G950FXXU2CRE3,201805,MEM,N,N,N,N,N,N
G950FXXU2CRF1,201806,MEM,N,N,N,N,N,N
G950FXXU3CRGH,201807,MEM,N,N,N,N,N,N
G950FXXU3CRG5,201807,MEM,N,N,N,N,N,N
G950FXXU3CRHB,201808,MEM,N,N,N,N,N,N
G950FXXU4CRI1,201809,MEM,N,N,N,N,N,N
G950FXXU4CRI9,201809,MEM,N,N,N,N,N,N
G950FXXU4CRKB,201811,N,N,N,N,N,N,N
G950FXXU4CRK1,201811,MEM,N,N,N,N,N,N
G950FXXU4DSBA,201902,MEM,N,N,N,N,N,N
G950FXXU4DSCB,201903,MEM,N,N,N,N,N,N
G950FXXU4DSD6,201904,MEM,N,N,N,N,N,N
G950FXXU4DSE4,201905,-,-,-,-,-,-,-
G950FXXS4DSE1,201905,MEM,N,N,N,N,N,N
G950FXXU5DSFB,201906,MEM,N,N,N,N,N,N
G950FXXS5DSF1,201906,-,-,-,-,-,-,-
G950FXXU5DSH3,201908,-,-,-,-,-,-,-
G950FXXU6DSK5,201911,MEM,N,N,N,N,N,N
G950FXXS7DTA6,202001,N,N,N,N,N,N,N
G950FXXS8DTC1,202003,N,N,N,N,N,N,N
G950FXXS9DTE1,202005,N,N,N,N,N,N,N
G950FXXU9DTF1,202006,N,N,N,N,N,N,N
G950FXXSADTI1,202009,N,N,N,N,N,N,N
G950FXXSBDTJ1,202010,N,N,N,N,N,N,N
G950FXXUCDUD1,202104,N,N,N,N,N,N,N
G955FXXU1AQDG,201704,?,?,?,?,?,?,?
G955FXXU1AQDD,201704,?,?,?,?,?,?,?
G955FXXU1AQEB,201705,MEM,N,N,PA,N,N,N
G955FXXU1AQF7,201706,MEM,N,N,PA,N,N,N
G955FXXU1CRAP,201801,MEM,N,N,N,N,N,N
G955FXXU1CRC7,201803,MEM,N,N,N,N,N,N
G955FXXU2CRE3,201805,MEM,N,N,N,N,N,N
G955FXXU4CRI9,201809,MEM,N,N,N,N,N,N
G955FXXU4CRK1,201811,MEM,N,N,N,N,N,N
G955FXXU4CRKB,201811,N,N,N,N,N,N,N
G955FXXU4DSE4,201905,MEM,N,N,N,N,N,N
G955FXXU5DSH3,201908,MEM,N,N,N,N,N,N
G955FXXS7DTA6,202001,N,N,N,N,N,N,N
G955FXXS8DTC1,202003,N,N,N,N,N,N,N
G955FXXUCDUD1,202104,N,N,N,N,N,N,N
G960FXXU1ARCC,201803,MEM,DA,PA,N,PA,N,N
G960FXXU1ARC4,201803,MEM,DA,PA,N,PA,N,N
G960FXXU1ARD6,201804,MEM,DA,PA,N,PA,N,N
G960FXXU1BRE3,201805,MEM,DA,PA,N,PA,N,N
G960FXXU1BRF5,201806,MEM,DA,PA,N,PA,N,N
G960FXXU2BRG4,201807,-,-,-,-,-,-,-
G960FXXU2BRG8,201807,MEM,DA,PA,N,PA,N,N
G960FXXU2BRHA,201808,-,-,-,-,-,-,-
G960FXXS2BRH8,201808,-,-,-,-,-,-,-
G960FXXU2BRJ4,201810,MEM,DA,PA,N,PA,N,N
G960FXXU2BRJ1,201810,MEM,DA,PA,N,PA,N,N
G960FXXS2BRK4,201811,N,?,?,N,PA,N,N
G960FXXU2CRLI,201812,N,?,PA,N,PA,N,N
G960FXXU2CSB3,201902,MEM,DA,PA,N,PA,N,N
G960FXXU2CSC1,201903,MEM,DA,PA,N,PA,N,N
G960FXXS3CSD2,201904,MEM,DA,PA,N,PA,N,N
G960FXXU4CSE1,201905,MEM,DA,PA,N,PA,N,N
G960FXXU5CSF2,201906,MEM,DA,PA,N,PA,N,N
G960FXXU6CSG4,201907,MEM,DA,PA,N,PA,N,N
G960FXXU6CSGD,201907,MEM,DA,PA,N,PA,N,N
G960FXXU7CSI6,201909,MEM,DA,PA,N,PA,N,N
G960FXXS7CSJ3,201910,MEM,DA,PA,N,PA,N,N
G960FXXS7CTA1,202001,N,DA,PA,N,PA,N,N
G960FXXU7DTA3,202001,N,DA,PA,N,PA,N,N
G960FXXS7DTB1,202002,N,DA,PA,N,PA,N,N
G960FXXU8DTC5,202003,N,DA,PA,N,PA,N,N
G960FXXS9DTD7,202004,N,DA,PA,N,PA,N,N
G960FXXU9ETF2,202006,-,-,-,-,-,-,-
G960FXXUAETG3,202007,N,DA,PA,N,PA,N,N
G960FXXSBETG8,202007,N,DA,PA,N,PA,N,N
G960FXXSBETH2,202008,N,N,N,N,PA,N,N
G960FXXUCFTJ1,202010,N,N,N,N,PA,N,N
G960FXXSDFTL1,202012,N,N,N,N,PA,N,N
G960FXXSEFUA1,202101,N,N,N,N,PA,N,N
G960FXXSFFUB3,202102,N,N,N,N,PA,N,N
G960FXXUFFUC6,202103,N,N,N,N,PA,N,N
G960FXXUFFUD5,202104,N,N,N,N,PA,N,N
G960FXXUFFUE1,202105,N,N,N,N,PA,N,N
G960FXXUGFUG4,202107,N,N,N,N,PA,N,N
G960FXXSHFUJ2,202110,N,N,N,N,N,N,N
G970FXXU1ASBA,201902,MEM,DA,PA,N,PA,N,PA
G970FXXU1ASC8,201903,MEM,DA,PA,N,PA,N,PA
G970FXXU1ASD4,201904,-,-,-,-,-,-,-
G970FXXU1ASE5,201905,MEM,DA,PA,N,PA,N,PA
G970FXXU2ASF3,201906,MEM,DA,PA,N,PA,N,PA
G970FXXU3ASG8,201907,MEM,DA,PA,N,PA,N,PA
G970FXXU3ASIE,201909,MEM,DA,PA,N,PA,N,PA
G970FXXU3ASJ4,201910,MEM,DA,PA,N,PA,N,PA
G970FXXS3ASJA,201910,MEM,DA,PA,N,PA,N,PA
G970FXXU3BSKL,201911,N,DA,PA,N,PA,N,PA
G970FXXS3BSL4,201912,N,DA,PA,N,PA,N,PA
G970FXXU4BTAA,202001,-,-,-,-,-,-,-
G970FXXU4CTC5,202003,N,DA,PA,N,PA,N,PA
G970FXXS5CTD1,202004,N,DA,PA,N,PA,N,PA
G970FXXS6CTE6,202005,N,DA,PA,N,PA,N,PA
G970FXXU7CTF1,202006,N,DA,PA,N,PA,N,PA
G970FXXS7CTF3,202006,N,DA,PA,N,PA,N,PA
G970FXXU8CTG4,202007,N,DA,PA,N,PA,N,PA
G970FXXU8DTH7,202008,N,N,N,N,N,N,PA
G970FXXS9DTI8,202009,N,N,N,N,N,N,PA
G970FXXU9DTJA,202010,N,N,N,N,N,N,PA
G970FXXS9DTK9,202011,N,N,N,N,N,N,PA
G970FXXU9ETLJ,202012,N,N,N,N,N,N,PA
G970FXXU9EUA4,202101,N,N,N,N,N,N,PA
G970FXXU9FUBD,202102,N,N,N,N,N,N,PA
G970FXXU9FUCD,202103,N,N,N,N,N,N,PA
G970FXXSBFUE6,202105,N,N,N,N,N,N,PA
G970FXXUAFUE1,202105,N,N,N,N,N,N,PA
G970FXXUCFUH3,202108,N,N,N,N,N,MEM,PA
G970FXXSDFUI5,202109,N,N,N,N,N,N,N
G970FXXSEFUJ2,202110,N,N,N,N,N,N,N
G973FXXU1ASBA,201902,MEM,DA,PA,N,PA,N,PA
G973FXXU1ASC8,201903,MEM,DA,PA,N,PA,N,PA
G973FXXU1ASD4,201904,MEM,DA,PA,N,PA,N,PA
